变量,水平/描述,出院成功=否,出院成功=是,总计,检验方法,统计量,P值,纳入样本量
年龄（月）,"中位数(P25, P75)","1.36 (0.48, 6.86)","2.98 (1.09, 9.71)","2.05 (0.50, 7.40)",Mann-Whitney U检验,2440.000,0.084,130
性别,女,25 (33.8%),18 (32.1%),43 (33.1%),卡方检验,0.000,0.993,130
性别,男,49 (66.2%),38 (67.9%),87 (66.9%),,,,
出血,无,21 (30.0%),24 (45.3%),45 (36.6%),卡方检验,2.414,0.120,123
出血,有,49 (70.0%),29 (54.7%),78 (63.4%),,,,
血栓,无,39 (57.4%),45 (80.4%),84 (67.7%),卡方检验,6.421,0.011,124
血栓,有,29 (42.6%),11 (19.6%),40 (32.3%),,,,
VIS评分,"中位数(P25, P75)","38.50 (30.00, 56.00)","28.00 (20.00, 37.75)","31.00 (25.00, 48.30)",Mann-Whitney U检验,1059.000,<0.001,119
最高总胆红素,"中位数(P25, P75)","43.40 (30.95, 84.60)","45.35 (29.25, 61.50)","44.85 (29.98, 67.53)",Mann-Whitney U检验,685.000,0.271,80
最高乳酸,"中位数(P25, P75)","10.70 (7.40, 17.25)","8.30 (4.17, 12.12)","9.40 (5.30, 13.55)",Mann-Whitney U检验,1241.500,0.010,118
12小时乳酸清除率,"中位数(P25, P75)","0.48 (0.23, 0.67)","0.51 (0.29, 0.82)","0.49 (0.26, 0.75)",Mann-Whitney U检验,1841.500,0.223,115
红细胞输注量（U）,"中位数(P25, P75)","2.00 (1.00, 5.00)","2.00 (1.00, 5.00)","2.00 (1.00, 5.00)",Mann-Whitney U检验,1591.000,0.885,115
血小板输注量（U）,"中位数(P25, P75)","6.00 (4.00, 10.00)","6.00 (3.00, 10.00)","6.00 (4.00, 10.00)",Mann-Whitney U检验,1564.000,0.765,115
血浆输注量（mL）,"中位数(P25, P75)","150.00 (62.50, 320.00)","150.00 (60.00, 270.00)","150.00 (60.00, 300.00)",Mann-Whitney U检验,1584.500,0.856,115
纤维蛋白原用量,"中位数(P25, P75)","0.70 (0.29, 1.50)","0.55 (0.25, 1.05)","0.65 (0.25, 1.50)",Mann-Whitney U检验,1329.000,0.388,109
ECMO时长（h）,"中位数(P25, P75)","82.80 (44.75, 134.25)","71.00 (59.25, 105.75)","76.00 (51.12, 115.00)",Mann-Whitney U检验,2102.500,0.948,130
体重（kg）,"中位数(P25, P75)","3.60 (2.86, 6.55)","4.55 (3.20, 7.95)","4.35 (3.00, 7.80)",Mann-Whitney U检验,2510.500,0.039,130
