变量,比较,变量类型,回归系数β,标准误SE,OR,OR 95%CI下限,OR 95%CI上限,P值,整体P值,样本量
VIS评分,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-1.7475882509133047,0.5000356444548172,0.17419354838737772,0.06537338209114951,0.46415515503661997,0.0004741908053859799,0.0011527119132505803,119
VIS评分,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.7686547330680839,0.45928720379928883,0.4636363636363667,0.18846534953728358,1.1405740005455411,0.09421280595122974,0.0011527119132505803,119
血栓,有 vs 无,分类变量，缺失剔除,-1.112501400826301,0.4162390062111922,0.32873563218472196,0.14539299943795364,0.7432759230887616,0.007523304963094801,0.005633038034346254,124
最高乳酸,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.9819447020955303,0.4646163463531067,0.37458193979935417,0.1506831475244228,0.9311700208618565,0.0345620337895043,0.06890291083840054,118
最高乳酸,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.8329091229351011,0.462937998308013,0.43478260869565344,0.17547636338845227,1.0772728199622454,0.07199009759385105,0.06890291083840054,118
出血,有 vs 无,分类变量，缺失剔除,-0.6580558607486672,0.3797059816951491,0.517857142857147,0.2460388300964544,1.0899743764146284,0.08308378238297742,0.08179106950217672,123
年龄（月）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.7747585160057797,0.4460772045635126,2.1700680272101716,0.905256690793899,5.202055163591157,0.08241787678652983,0.19876394018223165,130
年龄（月）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.5459169435769318,0.4444974083411133,1.7261904761899083,0.7223236527741583,4.125205575983521,0.21938437247346643,0.19876394018223165,130
12小时乳酸清除率,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.4726044109457916,0.4594879197845898,1.6041666666666645,0.6518274735679785,3.947901551860663,0.30369311649322317,0.21488049520686875,115
12小时乳酸清除率,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.33547273628801955,0.4742126013850356,0.7150000000000786,0.28226403380042553,1.8111588398880938,0.4792986236038824,0.21488049520686875,115
体重（kg）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.6241543090729272,0.43964761205445646,1.8666666666665424,0.7885659971652081,4.418709983654004,0.15570391920980836,0.3543773686090741,130
体重（kg）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.39053945789142175,0.4434852618450079,1.4777777777776788,0.6196034000273475,3.5245564507831086,0.3785266227806894,0.3543773686090741,130
最高总胆红素,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.4488014215951324,0.549327532813104,0.6383928571428572,0.21752019077227155,1.8735982099137278,0.4139275674075755,0.4524461504063043,80
最高总胆红素,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.23604695615011842,0.5531070472228302,1.2662337662337673,0.4282607945096066,3.7438588152495127,0.6695502024203275,0.4524461504063043,80
纤维蛋白原用量,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.496436886313886,0.4754134391788987,0.6086956521739162,0.23973284898186653,1.5455136771993,0.2963829688940609,0.5459407618421899,109
纤维蛋白原用量,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.11122563511022385,0.47176924387902536,0.8947368421052636,0.35491521034723605,2.2556204785849183,0.8136167403628661,0.5459407618421899,109
ECMO时长（h）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.3750240826069283,0.4343145730977426,1.4550264550264542,0.6211287829324106,3.4084750908367214,0.38787090937361846,0.5712298579920574,130
ECMO时长（h）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.03922071315328105,0.43539941299812585,0.9615384615384618,0.4095943982411245,2.25724818744585,0.9282237626876125,0.5712298579920574,130
红细胞输注量（U）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.43363598507484946,0.46760109568061536,0.6481481481481555,0.25920985568771854,1.6206792015423646,0.3537380609592693,0.6412554898519688,115
红细胞输注量（U）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.1524685936442738,0.45807600939475,0.8585858585858583,0.34983940444606476,2.1071659372701284,0.7392508194582383,0.6412554898519688,115
血浆输注量（mL）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.16430305129127631,0.45948791978459,1.1785714285714286,0.47889365404994383,2.9004990993262068,0.7206586886615846,0.8365481580738234,115
血浆输注量（mL）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.10899028370840473,0.46701121080139707,0.8967391304347828,0.3590421681888864,2.2396841911613143,0.8154676599992217,0.8365481580738234,115
性别,女 vs 男,分类变量，缺失剔除,-0.07426992858779491,0.37719955998763055,0.9284210526315793,0.443273870931775,1.944544236631074,0.8439071728689324,0.84379924137596,130
血小板输注量（U）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.15159640002216074,0.4608913509394529,0.859335038363172,0.34821789898412164,2.1206741822088455,0.7422161291896041,0.9445251775124055,115
血小板输注量（U）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.10714463745132714,0.46303036863297115,0.8983957219251342,0.362522954577338,2.2263828068884366,0.8170050547291073,0.9445251775124055,115
