predictor,变量,变量类型,整体P值,样本量
VIS,VIS评分,非正态，按三分位数组，缺失剔除,0.0011527119132505803,119
血栓,血栓,分类变量，缺失剔除,0.005633038034346254,124
最高lac,最高乳酸,非正态，按三分位数组，缺失剔除,0.06890291083840054,118
出血,出血,分类变量，缺失剔除,0.08179106950217672,123
年龄_m,年龄（月）,非正态，按三分位数组，缺失剔除,0.19876394018223165,130
v_12小时lac清除率,12小时乳酸清除率,非正态，按三分位数组，缺失剔除,0.21488049520686875,115
体重kg,体重（kg）,非正态，按三分位数组，缺失剔除,0.3543773686090741,130
最高总胆红素,最高总胆红素,非正态，按三分位数组，缺失剔除,0.4524461504063043,80
Fib量,纤维蛋白原用量,非正态，按三分位数组，缺失剔除,0.5459407618421899,109
时长h,ECMO时长（h）,非正态，按三分位数组，缺失剔除,0.5712298579920574,130
RBC量u,红细胞输注量（U）,非正态，按三分位数组，缺失剔除,0.6412554898519688,115
血浆量,血浆输注量（mL）,非正态，按三分位数组，缺失剔除,0.8365481580738234,115
性别,性别,分类变量，缺失剔除,0.84379924137596,130
血小板u,血小板输注量（U）,非正态，按三分位数组，缺失剔除,0.9445251775124055,115
