变量,水平/描述,撤机成功=否,撤机成功=是,总计,检验方法,统计量,P值,纳入样本量
年龄（月）,"中位数(P25, P75)","1.50 (0.35, 6.63)","2.10 (0.76, 8.45)","2.05 (0.50, 7.40)",Mann-Whitney U检验,2043.500,0.393,130
性别,女,16 (37.2%),27 (31.0%),43 (33.1%),卡方检验,0.256,0.613,130
性别,男,27 (62.8%),60 (69.0%),87 (66.9%),,,,
出血,无,5 (12.8%),40 (47.6%),45 (36.6%),卡方检验,12.442,<0.001,123
出血,有,34 (87.2%),44 (52.4%),78 (63.4%),,,,
血栓,无,19 (50.0%),65 (75.6%),84 (67.7%),卡方检验,6.765,0.009,124
血栓,有,19 (50.0%),21 (24.4%),40 (32.3%),,,,
VIS评分,"中位数(P25, P75)","35.00 (28.50, 55.50)","30.00 (24.00, 46.00)","31.00 (25.00, 48.30)",Mann-Whitney U检验,1317.000,0.206,119
最高总胆红素,"中位数(P25, P75)","41.45 (29.55, 79.45)","45.40 (30.43, 64.78)","44.85 (29.98, 67.53)",Mann-Whitney U检验,605.500,0.730,80
最高乳酸,"中位数(P25, P75)","11.70 (7.20, 18.00)","8.90 (4.80, 12.30)","9.40 (5.30, 13.55)",Mann-Whitney U检验,1144.000,0.040,118
12小时乳酸清除率,"中位数(P25, P75)","0.39 (0.13, 0.57)","0.51 (0.30, 0.79)","0.49 (0.26, 0.75)",Mann-Whitney U检验,1776.000,0.033,115
红细胞输注量（U）,"中位数(P25, P75)","3.00 (1.50, 6.05)","2.00 (1.00, 4.05)","2.00 (1.00, 5.00)",Mann-Whitney U检验,1138.500,0.087,115
血小板输注量（U）,"中位数(P25, P75)","6.00 (4.75, 11.50)","6.00 (4.00, 10.00)","6.00 (4.00, 10.00)",Mann-Whitney U检验,1267.500,0.350,115
血浆输注量（mL）,"中位数(P25, P75)","160.00 (67.50, 322.50)","150.00 (60.00, 275.00)","150.00 (60.00, 300.00)",Mann-Whitney U检验,1337.000,0.609,115
纤维蛋白原用量,"中位数(P25, P75)","0.75 (0.50, 1.62)","0.55 (0.25, 1.25)","0.65 (0.25, 1.50)",Mann-Whitney U检验,1008.500,0.134,109
ECMO时长（h）,"中位数(P25, P75)","84.00 (26.00, 169.00)","73.50 (58.00, 100.50)","76.00 (51.12, 115.00)",Mann-Whitney U检验,1843.000,0.928,130
体重（kg）,"中位数(P25, P75)","3.50 (2.70, 6.80)","4.50 (3.15, 7.80)","4.35 (3.00, 7.80)",Mann-Whitney U检验,2197.500,0.106,130
