变量,比较,变量类型,回归系数β,标准误SE,OR,OR 95%CI下限,OR 95%CI上限,P值,整体P值,样本量
出血,有 vs 无,分类变量，缺失剔除,-1.8216124323777374,0.5264399654006787,0.16176470588235273,0.057647073050142515,0.45393146060412864,0.0005396796447928681,8.59787762460235e-05,123
血栓,有 vs 无,分类变量，缺失剔除,-1.1298648321705171,0.4102032766649209,0.3230769230774713,0.14459067193558536,0.7218909548446297,0.005879944968295767,0.005659584704475443,124
12小时乳酸清除率,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.9271016479779965,0.5171101290992749,2.5271739130425326,0.9172129756293314,6.963058914839964,0.07299667916882448,0.1684404139256411,115
12小时乳酸清除率,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.22648245257961486,0.47651649690061243,1.2541806020065516,0.492888291736283,3.191329574716544,0.6345818908440575,0.1684404139256411,115
ECMO时长（h）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.8058878035148361,0.4899589700503054,2.2386831275707673,0.8569170710070432,5.848526438830671,0.10000967717149446,0.17372652912929612,130
ECMO时长（h）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.03636764417086354,0.44469237267819334,1.0370370370370252,0.43378190662762267,2.4792316132948864,0.9348204052490795,0.17372652912929612,130
红细胞输注量（U）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.8071657589584531,0.5015694339385344,0.44612068965625784,0.1669228106284086,1.1923096010073013,0.10755508657316742,0.24475184361918845,115
红细胞输注量（U）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.2721296594435683,0.5230101445496955,0.7617554858939714,0.27329302540140776,2.123257333176609,0.6028445276873158,0.24475184361918845,115
纤维蛋白原用量,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.7563260821800809,0.5249961068877047,0.4693877551026961,0.16774680597422417,1.3134370181343633,0.14968873385955306,0.3329324801733382,109
纤维蛋白原用量,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.2972515234688663,0.5469693082481395,0.7428571428564485,0.2542870153335879,2.170133358830437,0.5868186827734609,0.3329324801733382,109
最高乳酸,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.6592456288812489,0.48851734217655024,0.5172413793119043,0.19854847038351406,1.347472705056385,0.1771820214011357,0.3450138915503982,118
最高乳酸,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.13040149961468983,0.5109850614005733,0.8777429467092585,0.3224156212232351,2.3895637487254926,0.7985714847435432,0.3450138915503982,118
年龄（月）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.6429574360330741,0.46844844707528843,1.9020979020921656,0.7594318820553672,4.764056546258674,0.16989990820155432,0.3775020675205836,130
年龄（月）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.2343624349188783,0.4454598339614255,1.2641025641024128,0.5279663141841809,3.026623573588159,0.5988093453798822,0.3775020675205836,130
VIS评分,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.5877866648991575,0.4898977080899026,0.5555555555572008,0.21267958771637352,1.4512063833886615,0.23021116057210333,0.46904704442100253,119
VIS评分,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.40546510810539826,0.4987160280742503,0.6666666666685107,0.25084236584963465,1.7718077364703282,0.41620773766516916,0.46904704442100253,119
性别,女 vs 男,分类变量，缺失剔除,-0.27525955245248923,0.3914596964273445,0.7593750000005578,0.35256987167694354,1.6355634356478042,0.481954846358583,0.4834459211497798,130
体重（kg）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.4441546530569521,0.45438539952278584,1.5591715976309666,0.639912158041556,3.7989840329010134,0.3283293825121899,0.5489991752106467,130
体重（kg）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.4113648302342895,0.4555670921897301,1.5088757396433663,0.6178372146117427,3.6849609311977574,0.36654017096815383,0.5489991752106467,130
血小板输注量（U）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.31812309795133764,0.4892591663586498,0.7275132275144488,0.27885776134736406,1.8980124263035618,0.515554080429848,0.7510633351793291,115
血小板输注量（U）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,4.718447854656915e-16,0.5058576372635685,1.0000000000000004,0.37103356441665564,2.695173957030587,0.9999999999999992,0.7510633351793291,115
血浆输注量（mL）,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,0.12475170497133667,0.49974070046029373,1.1328671328658413,0.4254014066624416,3.0168869228635327,0.8028712771156005,0.9163424791328393,115
血浆输注量（mL）,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.08004270767317165,0.4870106427176859,0.9230769230772597,0.3553805728650855,2.3976296707734117,0.8694515677829107,0.9163424791328393,115
最高总胆红素,Q3（高三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.18482468701042942,0.6086774253679991,0.8312500000013664,0.25212998299063155,2.740556891751927,0.7613948213862685,0.951797920447339,80
最高总胆红素,Q2（中三分位组） vs Q1（低三分位组）,非正态，按三分位数组，缺失剔除,-0.05129329438728426,0.6231735128607845,0.950000000000253,0.280076937796229,3.222328861139926,0.9344003524327973,0.951797920447339,80
