predictor,变量,变量类型,整体P值,样本量
出血,出血,分类变量，缺失剔除,8.59787762460235e-05,123
血栓,血栓,分类变量，缺失剔除,0.005659584704475443,124
v_12小时lac清除率,12小时乳酸清除率,非正态，按三分位数组，缺失剔除,0.1684404139256411,115
时长h,ECMO时长（h）,非正态，按三分位数组，缺失剔除,0.17372652912929612,130
RBC量u,红细胞输注量（U）,非正态，按三分位数组，缺失剔除,0.24475184361918845,115
Fib量,纤维蛋白原用量,非正态，按三分位数组，缺失剔除,0.3329324801733382,109
最高lac,最高乳酸,非正态，按三分位数组，缺失剔除,0.3450138915503982,118
年龄_m,年龄（月）,非正态，按三分位数组，缺失剔除,0.3775020675205836,130
VIS,VIS评分,非正态，按三分位数组，缺失剔除,0.46904704442100253,119
性别,性别,分类变量，缺失剔除,0.4834459211497798,130
体重kg,体重（kg）,非正态，按三分位数组，缺失剔除,0.5489991752106467,130
血小板u,血小板输注量（U）,非正态，按三分位数组，缺失剔除,0.7510633351793291,115
血浆量,血浆输注量（mL）,非正态，按三分位数组，缺失剔除,0.9163424791328393,115
最高总胆红素,最高总胆红素,非正态，按三分位数组，缺失剔除,0.951797920447339,80
